timestamp,open,high,low,close,ticker
2019-06-17,140.00,140.24,139.24,139.44,JNJ
2019-06-14,141.23,141.49,140.04,140.09,JNJ
2019-06-13,141.72,141.95,140.21,140.71,JNJ
2019-06-12,140.30,142.91,140.30,141.68,JNJ
2019-06-11,139.68,140.66,139.50,139.78,JNJ
2019-06-10,138.60,139.15,137.60,139.02,JNJ
2019-06-07,137.59,139.59,137.14,138.55,JNJ
2019-06-06,134.90,137.66,134.59,136.68,JNJ
2019-06-05,134.70,135.13,133.86,134.38,JNJ
2019-06-04,132.60,134.30,132.58,133.73,JNJ
2019-06-03,131.50,132.40,131.04,131.44,JNJ
2019-05-31,131.52,132.00,129.61,131.15,JNJ
2019-05-30,131.44,132.82,131.17,132.11,JNJ
2019-05-29,135.89,135.89,128.52,131.33,JNJ
2019-05-28,139.00,140.49,137.00,137.07,JNJ
2019-05-24,139.50,139.50,138.56,138.85,JNJ
2019-05-23,138.50,139.85,137.67,139.79,JNJ
2019-05-22,138.35,138.95,137.49,138.76,JNJ
2019-05-21,139.12,139.57,138.08,138.12,JNJ
2019-05-20,138.61,138.96,137.68,138.42,JNJ
2019-05-17,137.00,139.03,136.86,138.61,JNJ
2019-05-16,137.39,139.19,136.97,138.21,JNJ
2019-05-15,136.90,137.49,135.33,136.91,JNJ
2019-05-14,137.04,137.84,136.73,136.82,JNJ
2019-05-13,137.85,138.06,136.53,137.20,JNJ
2019-05-10,138.43,139.25,136.41,139.05,JNJ
2019-05-09,138.95,139.32,137.64,138.73,JNJ
2019-05-08,140.20,140.92,139.70,139.79,JNJ
2019-05-07,140.82,141.38,139.06,139.97,JNJ
2019-05-06,140.25,142.24,139.93,142.09,JNJ
2019-05-03,141.29,142.09,141.08,142.01,JNJ
2019-05-02,141.91,142.15,140.12,141.28,JNJ
2019-05-01,140.95,142.35,139.75,141.95,JNJ
2019-04-30,140.19,141.45,138.96,141.20,JNJ
2019-04-29,140.35,140.43,139.58,139.84,JNJ
2019-04-26,139.88,140.52,139.31,140.39,JNJ
2019-04-25,138.52,139.77,137.96,139.65,JNJ
2019-04-24,139.65,140.14,138.86,139.20,JNJ
2019-04-23,137.42,140.85,137.25,139.90,JNJ
2019-04-22,136.98,138.49,136.46,137.83,JNJ
2019-04-18,139.35,140.24,135.75,137.52,JNJ
2019-04-17,139.00,140.15,137.67,138.52,JNJ
2019-04-16,138.32,140.70,137.56,138.02,JNJ
2019-04-15,136.00,136.79,135.80,136.52,JNJ
